timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784790189692,1280,HOme,200,,JPETStore 1-18,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1280,0,0
1784790190333,1284,HOme,200,,JPETStore 1-1,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1284,0,0
1784790189696,1921,HOme,200,,JPETStore 1-4,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1921,0,0
1784790190333,1284,HOme,200,,JPETStore 1-16,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1284,0,0
1784790189696,1921,FISH,200,,JPETStore 1-9,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1921,0,0
1784790189696,1921,FISH,200,,JPETStore 1-7,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1921,0,0
1784790189695,1923,REPTILES,200,,JPETStore 1-13,text,true,,4271,179,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1922,0,0
1784790190333,1285,CATS,200,,JPETStore 1-8,text,true,,4265,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,1284,0,0
1784790189696,1922,REPTILES,200,,JPETStore 1-15,text,true,,4271,179,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1922,0,0
1784790189696,1922,HOme,200,,JPETStore 1-17,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1921,0,0
1784790190972,1286,DOGS,200,,JPETStore 1-12,text,true,,4991,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,1286,0,0
1784790190973,1285,FISH,200,,JPETStore 1-2,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1285,0,0
1784790190333,1925,HOme,200,,JPETStore 1-5,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1925,0,0
1784790190334,1925,HOme,200,,JPETStore 1-20,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1925,0,0
1784790190335,1924,CATS,200,,JPETStore 1-10,text,true,,4265,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,1924,0,0
1784790190972,1287,FISH,200,,JPETStore 1-6,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1287,0,0
1784790190333,1927,CATS,200,,JPETStore 1-11,text,true,,4265,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,1926,0,0
1784790190335,1925,REPTILES,200,,JPETStore 1-19,text,true,,4271,179,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1925,0,0
1784790190336,1924,CATS,200,,JPETStore 1-14,text,true,,4265,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,1924,0,0
1784790190973,1288,FISH,200,,JPETStore 1-18,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1287,0,0
1784790190335,1926,CATS,200,,JPETStore 1-3,text,true,,4265,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,1925,0,0
1784790191617,1202,FISH,200,,JPETStore 1-1,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1202,0,0
1784790191617,1210,FISH,200,,JPETStore 1-16,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1210,0,0
1784790191617,1213,FISH,200,,JPETStore 1-4,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1213,0,0
1784790191618,1213,CATS,200,,JPETStore 1-13,text,true,,4265,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,1213,0,0
1784790191617,1214,DOGS,200,,JPETStore 1-9,text,true,,4991,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,1214,0,0
1784790191618,1213,DOGS,200,,JPETStore 1-7,text,true,,4991,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,1213,0,0
1784790191618,1857,FISH,200,,JPETStore 1-17,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1857,0,0
1784790191618,1858,HOme,200,,JPETStore 1-8,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1857,0,0
1784790191618,1858,CATS,200,,JPETStore 1-15,text,true,,4265,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,1858,0,0
1784790192260,1919,REPTILES,200,,JPETStore 1-12,text,true,,4271,179,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1919,0,0
1784790192260,1919,DOGS,200,,JPETStore 1-2,text,true,,4991,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,1919,0,0
1784790192260,1919,FISH,200,,JPETStore 1-5,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1919,0,0
1784790192262,1920,DOGS,200,,JPETStore 1-18,text,true,,4991,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,1920,0,0
1784790192261,1921,DOGS,200,,JPETStore 1-6,text,true,,4991,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,1921,0,0
1784790192262,1924,HOme,200,,JPETStore 1-3,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1923,0,0
1784790192261,1925,FISH,200,,JPETStore 1-20,text,true,,4619,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,1924,0,0
1784790192262,1924,CATS,200,,JPETStore 1-19,text,true,,4265,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,1924,0,0
1784790192261,1925,HOme,200,,JPETStore 1-10,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1925,0,0
1784790192262,1925,HOme,200,,JPETStore 1-14,text,true,,5664,145,20,20,https://petstore.octoperf.com/actions/Catalog.action,1924,0,0
1784790192820,1683,DOGS,200,,JPETStore 1-1,text,true,,4991,175,20,20,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,1683,0,0
